location,population,max_cases_count,max_death_count,infection_rate
Uzbekistan,33935765,179371,1276,0.5286
Australia,25788217,136188,1496,0.5281
Comoros,888456,4173,147,0.4697
Mozambique,32163045,151046,1924,0.4696
Algeria,44616626,204900,5862,0.4592
Kenya,54985702,251483,5198,0.4574
Senegal,17196308,73848,1869,0.4294
Laos,7379358,29964,35,0.4061
Ghana,31732128,128368,1158,0.4045
Gambia,2486937,9943,339,0.3998
Afghanistan,39835428,155627,7234,0.3907
Cameroon,27224262,98402,1550,0.3614
Bhutan,779900,2615,3,0.3353
Malawi,19647681,61699,2292,0.3140
Togo,8478242,25826,237,0.3046
Guinea-Bissau,2015490,6123,141,0.3038
Ethiopia,117876226,356772,6103,0.3027
Egypt,104258327,314977,17806,0.3021
Congo,5657017,15255,219,0.2697
Uganda,47123533,124864,3179,0.2650
"Papua New Guinea",9119005,23629,262,0.2591
Nicaragua,6702379,15737,206,0.2348
"Central African Republic",4919987,11469,100,0.2331
Guinea,13497237,30535,385,0.2262
"Cote d'Ivoire",27053629,60878,672,0.2250
Syria,18275704,37794,2366,0.2068
Benin,12451031,24560,161,0.1973
Haiti,11541683,22731,649,0.1969
Eritrea,3601462,6764,43,0.1878
Angola,33933611,62143,1650,0.1831
Tajikistan,9749625,17484,125,0.1793
"Hong Kong",7552800,12275,213,0.1625
Burundi,12255429,19441,38,0.1586
Madagascar,28427333,43610,960,0.1534
Somalia,16359500,21269,1180,0.1300
Liberia,5180208,5915,286,0.1142
"South Sudan",11381377,12168,130,0.1069
"New Zealand",4860642,4832,28,0.0994
Nigeria,211400704,208404,2761,0.0986
Sudan,44909351,39119,2976,0.0871
"Sierra Leone",8141343,6396,121,0.0786
Mali,20855724,15536,555,0.0745
Taiwan,23855008,16313,846,0.0684
"Burkina Faso",21497097,14586,203,0.0679
"Democratic Republic of Congo",92377986,57269,1089,0.0620
Tanzania,61498438,26034,724,0.0423
Yemen,30490639,9439,1789,0.0310
Chad,16914985,5063,174,0.0299
Palau,18174,5,0,0.0275
Niger,25130810,6139,204,0.0244
China,1444216102,96560,4639,0.0067
"Marshall Islands",59618,4,0,0.0067
"Solomon Islands",703995,20,0,0.0028
Kiribati,121388,2,0,0.0016
Samoa,200144,3,0,0.0015
Vanuatu,314464,4,1,0.0013
"Micronesia (country)",116255,1,0,0.0009
Anguilla,15125,0,0,0.0000
Aruba,107195,0,0,0.0000
Bermuda,62092,0,0,0.0000
"Bonaire Sint Eustatius and Saba",26445,0,0,0.0000
"British Virgin Islands",30423,0,0,0.0000
"Cayman Islands",66498,0,0,0.0000
"Cook Islands",17572,0,0,0.0000
Curacao,164796,0,0,0.0000
"Faeroe Islands",49053,0,0,0.0000
"Falkland Islands",3528,0,0,0.0000
"French Polynesia",282534,0,0,0.0000
